category,query
Aggregated ACS / DVMT / SVI Queries,Show the number of cost-burdened renter households.
Aggregated ACS / DVMT / SVI Queries,List tracts with >50% mobile homes.
Aggregated ACS / DVMT / SVI Queries,What is the per-capita income percentile vs. unemployment percentile?
Time-Series & Historical,Compare population change from 2010 to 2020 by tract.
Time-Series & Historical,Show median income trend 2014-2018 vs. 2016-2020.
Time-Series & Historical,What is the change in PM2.5 exposure from 1998 to 2016?
Time-Series & Historical,List parcels sold in the last 12 months.
Time-Series & Historical,Show building permits issued after 2020.
Time-Series & Historical,Find parks added since the 2015 planimetric update.
Time-Series & Historical,What is the year-over-year change in AQI 90th percentile?
Time-Series & Historical,Show land area change for tracts due to annexation.
Time-Series & Historical,List properties with assessment year 2023.
Time-Series & Historical,When was the last edit to the zoning layer?
Spatial / Proximity Queries,Find all schools within 0.5 miles of a fire station.
Spatial / Proximity Queries,List hospitals within 1 mile of a Metrorail station.
Spatial / Proximity Queries,Show parks within 500 ft of a bus stop.
Spatial / Proximity Queries,Find residential parcels within 100 ft of a major road.
Spatial / Proximity Queries,Which commercial properties are inside a flood zone?
Spatial / Proximity Queries,List libraries within a 10-minute walk of a cooling center.
Spatial / Proximity Queries,Find daycare centers near high-social-vulnerability tracts.
Spatial / Proximity Queries,Show bike lanes within 0.25 miles of a school.
Spatial / Proximity Queries,Which superfund sites are within 1 mile of a playground?
Spatial / Proximity Queries,Find parcels that intersect both a CRA and a QOZ.
Miscellaneous / Meta,What data source was used for building footprints (LiDAR or planimetric)?
Miscellaneous / Meta,Show the creation date and last editor for each feature class.
Miscellaneous / Meta,List all datasets updated weekly.
Miscellaneous / Meta,What is the coordinate system of the parcel layer?
Miscellaneous / Meta,Find features with missing geometry or NODATA.
Miscellaneous / Meta,Show the provenance documentation for the augmented parcel layer.
Miscellaneous / Meta,List all columns that contain a Margin of Error (MOE).
Miscellaneous / Meta,What is the difference between “estimate” and “percentage” fields?
Miscellaneous / Meta,Find all descriptions that mention “ACS”.
Miscellaneous / Meta,Show the list of DOR codes and their descriptions.
